CV_CCT|CV_TURNO|TURNO|NOMBRECT|C_NOM_ENT|CV_MUN|C_NOM_MUN|CV_LOC|C_NOM_LOC|C_NOM_VIALIDAD|N_EXTNUM|CONTROL|SUBCONTROL|TIPO|NIVEL|SUBNIVEL|CV_CARACTERIZAN1|C_CARACTERIZAN1|CV_CARACTERIZAN2|C_CARACTERIZAN2|ZONA|JEFSEC|SERVREG|CV_ESTATUS_CAPTURA|PERIODO|V1|V2|V3|V4|V5|V6|V7|V8|V9|V10|V11|V12|V13|V14|V15|V16|V17|V18|V19|V20|V21|V22|V23|V24|V25|V26|V27|V28|V29|V30|V31|V32|V33|V34|V35|V36|V37|V38|V39|V40|FECHA_ENTREGA|
32FIZ0066V|4|DISCONTINUO|SUPERVISION DE ZONA DE EDUCACION PRIMARIA NUM.66|ZACATECAS|020|JEREZ|0001|JEREZ DE GARCÍA SALINAS|CALLE ATLAS|0|PÚBLICO|FEDERAL TRANSFERIDO||||0||0|||32FJS0002Q|32ADG0008Z|0|I2017|7|10|7|1|30|1|0|1|0|0|0|0|1|1|0|0|0|1|1|2|1|0|0|1|0|0|0|0|1|0|0|0|0|1|0|1|0|1|0|0|03/11/2017 0:00:00|
32FIZ0067U|4|DISCONTINUO|SUPERVISION DE ZONA DE EDUCACION PRIMARIA NUM.67|ZACATECAS|020|JEREZ|0001|JEREZ DE GARCÍA SALINAS|CALLE ATLAS|0|PÚBLICO|FEDERAL TRANSFERIDO||||0||0|||32FJS0002Q|32ADG0008Z|0|I2017|15|13|14|1|15|1|0|1|0|0|0|1|0|1|0|0|0|2|0|2|1|0|0|0|0|0|1|0|0|1|1|0|1|1|0|1|0|1|1|1|22/10/2017 0:00:00|
32FIZ0068T|4|DISCONTINUO|SUPERVISION DE ZONA DE EDUCACION PRIMARIA NUM.68|ZACATECAS|020|JEREZ|0001|JEREZ DE GARCÍA SALINAS|CALLE ATLAS|0|PÚBLICO|FEDERAL TRANSFERIDO||||0||0|||32FJS0002Q|32ADG0008Z|0|I2017|15|15|15|1|10|1|0|1|0|0|0|0|0|0|0|0|0|1|0|1|1|0|0|1|0|0|0|0|1|0|1|0|0|1|0|1|1|1|0|0|06/10/2017 0:00:00|
32FIZ0069S|4|DISCONTINUO|SUPERVISION DE ZONA DE EDUCACION PRIMARIA NUM. 69|ZACATECAS|056|ZACATECAS|0001|ZACATECAS|CALLE ANTIGUA CARRETERA PANAMERICANA KILOMETROS 2.5|0|PÚBLICO|FEDERAL TRANSFERIDO||||0||0|||32FJS0013W|32ADG0010O|0|I2017|9|2|9|0|30|1|0|1|1|0|1|0|1|1|0|0|0|2|1|3|0|0|1|0|0|0|1|0|0|1|1|1|1|1|1|0|0|1|1|1|03/11/2017 0:00:00|
32FIZ0070H|4|DISCONTINUO|SUPERVISION DE ZONA DE EDUCACION PRIMARIA NUM.70|ZACATECAS|056|ZACATECAS|0001|ZACATECAS|CALLE ANTIGUA CARRETERA PANAMERICANA KILOMETROS 2.5|0|PÚBLICO|FEDERAL TRANSFERIDO||||0||0|||32FJS0013W|32ADG0010O|0|I2017|10|20|10|0|40|1|0|1|0|2|2|0|1|1|0|0|0|1|3|4|1|0|0|0|0|0|1|0|1|0|1|1|1|1|1|1|0|1|1|1|30/10/2017 0:00:00|
32FIZ0071G|4|DISCONTINUO|SUPERVISION DE ZONA DE EDUCACION PRIMARIA NUM.71|ZACATECAS|017|GUADALUPE|0001|GUADALUPE|PRIVADA EUCALIPTOS EX-HDA.DE BERNARDEZ|0|PÚBLICO|FEDERAL TRANSFERIDO||||0||0|||32FJS0010Z|32ADG0019F|0|I2017|13|20|13|0|45|1|0|1|0|0|0|0|1|1|0|0|0|1|1|2|1|0|0|0|0|0|1|0|1|0|1|1|1|1|1|0|0|1|1|1|23/10/2017 0:00:00|
32FIZ0072F|4|DISCONTINUO|SUPERVISION DE ZONA DE EDUCACION PRIMARIA NUM.72|ZACATECAS|010|FRESNILLO|0001|FRESNILLO|PROLONGACIÓN PLATEROS|0|PÚBLICO|FEDERAL TRANSFERIDO||||0||0|||32FJS0014V|32ADG0025Q|0|I2017|8|12|9|0|30|1|0|1|1|0|1|0|0|0|0|1|1|2|1|3|1|0|0|1|0|0|0|0|1|0|0|0|0|0|0|0|0|1|1|1|07/11/2017 0:00:00|
32FIZ0073E|4|DISCONTINUO|SUPERVISION DE ZONA DE EDUCACION PRIMARIA NUM.73|ZACATECAS|056|ZACATECAS|0001|ZACATECAS|CALLE ANTIGUA CARRETERA PANAMERICANA KILOMETROS 2.5|0|PÚBLICO|FEDERAL TRANSFERIDO||||0||0|||32FJS0013W|32ADG0010O|0|I2017|12|15|12|1|20|1|0|1|0|0|0|0|0|0|0|0|0|1|0|1|1|0|0|0|0|0|1|0|0|1|1|0|1|1|0|0|0|1|1|1|31/10/2017 0:00:00|
32FIZ0074D|4|DISCONTINUO|SUPERVISION DE ZONA DE EDUCACION PRIMARIA NUM. 74|ZACATECAS|010|FRESNILLO|0001|FRESNILLO|CALLE AQUILES SERDAN COLONIA INDUSTRIAL|1154|PÚBLICO|FEDERAL TRANSFERIDO||||0||0|||32FJS0014V|32ADG0025Q|0|I2017|7|16|7|0|45|1|0|1|0|1|1|0|1|1|0|0|0|1|2|3|0|0|1|0|0|0|1|0|0|1|0|0|1|1|1|1|0|1|1|1|03/11/2017 0:00:00|
32FIZ0075C|4|DISCONTINUO|SUPERVISION DE ZONA DE EDUCACION PRIMARIA NUM.75|ZACATECAS|038|PINOS|0201|EL SITIO|CARRETERA PINOS-OJUELOS EL BAJIO SUR|1|PÚBLICO|FEDERAL TRANSFERIDO||||0||0|||32FJS0011Y|32ADG0007A|0|I2017|14|8|12|0|45|1|0|1|0|0|0|1|0|1|0|0|0|2|0|2|1|0|0|0|0|0|1|0|0|1|1|1|1|1|0|1|0|1|1|1|19/10/2017 0:00:00|
